27/04/19 03:45:59 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 24 - Trying to load library...
27/04/19 03:45:59 DEBUG 	 com.evilcorp.imagerecognition.Constants: 62 - Obtaining progerty: PATH_TO_NATIVE_LIB_WIN
27/04/19 03:45:59 DEBUG 	 com.evilcorp.imagerecognition.Constants: 62 - Obtaining progerty: RESOURCES_PATH
27/04/19 03:45:59 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 18 - Checking OS...
27/04/19 03:45:59 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 03:45:59 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 19 - WINDOWS
27/04/19 03:45:59 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 03:45:59 ERROR 	 com.evilcorp.imagerecognition.api.ImageAPITest: 29 - 
27/04/19 04:29:08 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 24 - Trying to load library...
27/04/19 04:29:08 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 25 - Checking OS...
27/04/19 04:29:08 DEBUG 	 com.evilcorp.imagerecognition.Constants: 63 - Obtaining progerty: PATH_TO_NATIVE_LIB_WIN
27/04/19 04:29:08 DEBUG 	 com.evilcorp.imagerecognition.Constants: 63 - Obtaining progerty: RESOURCES_PATH
27/04/19 04:29:08 DEBUG 	 com.evilcorp.imagerecognition.Constants: 63 - Obtaining progerty: IMAGE_DIR_PATH
27/04/19 04:29:08 DEBUG 	 com.evilcorp.imagerecognition.Constants: 29 - OS TYPE: windows 7
27/04/19 04:29:08 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - WINDOWS
27/04/19 04:29:08 DEBUG 	 com.evilcorp.imagerecognition.Constants: 29 - OS TYPE: windows 7
27/04/19 04:29:08 ERROR 	 com.evilcorp.imagerecognition.api.ImageAPITest: 29 - 
27/04/19 04:36:37 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 27 - Trying to load library...
